,日付,メルカリ商品ID,タイトル,売上,手数料,送料（メルカリ便）,MF転記手数料総額,送料（出品者負担）,入金
0,8月14日 12:52,m66027616476,Cable Matters USB LAN変換アダプター 有線LANアダプター,800,80,175,255,,545
1,6月15日 23:06,m43353751584,犬の服,800,80,175,255,,545
2,4月19日 15:40,m25609596636,犬の帽子,500,50,175,225,,275
3,3月25日 11:55,m43215848996,デッドバイデイライト,3800,380,175,555,,3245
4,3月26日 16:04,m47600513692,遊戯王 堕天使の追放,777,77,0,77,,700
5,3月22日 20:10,m50245164235,遊戯王 RRフォースストリクス スーパー,444,44,0,44,,400
6,3月23日 01:49,m82150072924,遊戯王 銀河眼の光波竜,777,77,0,77,,700
7,3月23日 20:03,m10321158010,遊戯王 やぶ蛇,444,44,0,44,,400
8,3月22日 18:04,m79865238702,遊戯王 幻想の黒魔導師,333,33,0,33,,300
9,3月23日 17:54,m53220152678,遊戯王 セキュリティドラゴン,433,43,175,218,,215
10,3月18日 12:57,m33905926739,遊戯王 轟雷帝ザボルグ,777,77,0,77,,700
11,3月18日 18:17,m14529596643,遊戯王 ディバインガイ デステニードロー,666,66,0,66,,600
