,サービス名,企業名,説明,利用料金,初期費用,無料プラン,無料トライアル,詳細情報
0,音声・画像・感情認識・自然言語データ活用支援,Laniakea株式会社,音声・画像・感情認識・自然言語データ活用支援,お問い合わせください,お問い合わせください,お問い合わせください,お問い合わせください,https://ai-products.net/product/data-use/
1,エモリーダー,株式会社エモスタ,感情認識AI / 印象予測AI,お問い合わせください,お問い合わせください,お問い合わせください,あり,https://ai-products.net/product/emoreader/
2,音声データ作成サービス,株式会社 翻訳センター,音声データ作成サービス,各サービスともに要望を伺いましてから都度見積りいたします。,なし,なし,なし,https://ai-products.net/product/sound-data/
3,AIME-Sound,AIMENEXT JAPAN 株式会社,「声を見える化」「声で効率化」する音声認識システム,お問い合わせ下さい,お問い合わせ下さい,なし,なし,https://ai-products.net/product/aime-sound/
4,MAL Face Emotion,"VITALIFY Asia Co.,Ltd.","顔感情を数値化できる
MAL Face Emotion",月額固定 300 US ドル（最低契約期間 6 ヶ月～）,発生しません,お問い合わせ下さい,対応可能,https://ai-products.net/product/mal-face-e/
5,AmiVoice Communication Suite,株式会社アドバンスト・メディア,"導入実績No.1のボイスコミュニケーション向け
AI音声認識ソリューション",月額12万円～,お問い合わせ下さい,なし,なし,https://ai-products.net/product2/amivoice/
6,Empath,株式会社Empath,音声から気分状態を可視化するAI・人工知能エンジン,"月額 10,800円～",0円,API利用回数300回まで,―,https://ai-products.net/product/empath/
7,SENSY Marketing Brain,SENSY株式会社,感性AIで10万人のお客様に10万通りのシナリオを,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,お問い合わせ下さい,https://ai-products.net/product/sensy-mb/
8,感情解析API,メタデータ株式会社,文章から感情を手軽に数値として抽出,1件あたり～5円,お問い合わせ下さい,あり,あり,https://ai-products.net/product/api-emotion-analyzer/
9,対話型AI「ハル」＠感情認識,クリスタルメソッド株式会社,業務の自動化をHALさんがサポートします！,30万円,90万円,-,-,https://ai-products.net/product/emotion-recognition-ai-haru/
10,アイトラッキング（視線計測）,トビー・テクノロジー株式会社,目は口程に物を言う,お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/automation-support-eyetracking/
11,感情認識・解析ニューロAI塔載「人事AIシステム」,株式会社ロボケン,"生体情報から感情・性格を予測する「ニューロAI」を用いた
人事業務システムの効率化",お問い合わせ下さい,お問い合わせ下さい,なし,あり,https://ai-products.net/product/emotion-recognition-neuron-ai/
